"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW5";"SW_CuK_JS202011AQN_DPDT_Angled";1;"ABBA";;;
2;"U2";"DIP-28_W15.24mm_Socket_LongPads";1;"W27E257";;;
3;"SW4";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"ZX_SEL";;;
4;"R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10K";;;
5;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"KEMPSTON";;;
6;"IC12";"78XXS";1;"L7805";;;
7;"C18,C14";"C_Elec_6.3x5.4";2;"100u/16v";;;
8;"C17";"C_Elec_6.3x5.8";1;"100u/16v";;;
9;"SW3";"SW_DIP_SPSTx03_Piano_10.8x9.18mm_W7.62mm_P2.54mm";1;"ROMSEL_JOY";;;
10;"JP7";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"RDSYSEL";;;
11;"JP6";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"WDSEL";;;
12;"R3,R4,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"470R";;;
13;"IC9";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS00";;;
14;"U11";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL22V10";;;
15;"IC5";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS06";;;
16;"IC6";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS126";;;
17;"R5,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2K2";;;
18;"IC10";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS27";;;
19;"HOLE2,HOLE1,HOLE3";"MountingHole_3.5mm_Pad_Via";3;"MountingHole_3.5mm_Pad_Via";;;
20;"SW2";"SW_PUSH_6mm";1;"NMI";;;
21;"SW1";"SW_PUSH_6mm";1;"RESET";;;
22;"U7";"DIP-20_W7.62mm_Socket_LongPads";1;"74LS374";;;
23;"U8";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS175";;;
24;"U4";"DIP-24_W7.62mm_Socket_LongPads";1;"PAL20L8";;;
25;"U3";"DIP-28_W15.24mm_Socket_LongPads";1;"6264";;;
26;"U1";"DIP-28_W15.24mm_Socket_LongPads";1;"WD1772";;;
27;"R10,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"680";;;
28;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270";;;
29;"JP4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
30;"J1";"ZX_CONNECTOR_GENERIC_SORTED";1;"ZX_CONNECTOR_GENERIC_SORTED";;;
31;"J3";"PinHeader_2x13_P2.54mm_Vertical";1;"PARALLEL_CONNECTOR";;;
32;"C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";11;"100n";;;
33;"C13";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"33p";;;
34;"J2";"PinHeader_2x17_P2.54mm_Vertical";1;"FDD_CONNECTOR";;;
35;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
36;"D1";"LED_D5.0mm";1;"LD_ACT";;;
37;"D4,D3,D2";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"1N4148";;;
38;"D5";"LED_D5.0mm";1;"LD_PWR";;;
39;"C15";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100p";;;
40;"C16,C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"100n";;;
41;"LOGO1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OSHW-Logo_5.7x6mm_SilkScreen";;;
42;"Y1";"Crystal_HC18-U_Vertical";1;"8.000Mhz";;;
