"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Kempston";;;
2;"SW4";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"ZX_SEL";;;
3;"IC10";"DIP-14_W7.62mm_Socket";1;"74LS27";;;
4;"IC9";"DIP-14_W7.62mm_Socket";1;"74LS00";;;
5;"IC6";"DIP-14_W7.62mm_Socket";1;"74LS126";;;
6;"D5";"LED_D3.0mm";1;"LD_PWR";;;
7;"SW3";"SW_DIP_SPSTx03_Piano_10.8x9.18mm_W7.62mm_P2.54mm";1;"ROMSEL_JOY";;;
8;"Y1";"Crystal_HC18-U_Vertical";1;"8.000Mhz";;;
9;"D1";"LED_D3.0mm";1;"LD_ACT";;;
10;"IC5";"DIP-14_W7.62mm_Socket";1;"74LS06";;;
11;"J3";"PinHeader_2x13_P2.54mm_Vertical";1;"PARALLEL_CONNECTOR";;;
12;"J1";"ZX_CONNECTOR_GENERIC_SORTED";1;"ZX_CONNECTOR_GENERIC_SORTED";;;
13;"IC1";"DIP-28_W15.24mm_Socket";1;"WD1772";;;
14;"IC3";"DIP-28_W15.24mm_Socket";1;"6264/62256";;;
15;"IC4";"DIP-24_W7.62mm_Socket";1;"GAL20V8B";;;
16;"IC8";"DIP-16_W7.62mm_Socket";1;"74LS175";;;
17;"IC7";"DIP-20_W7.62mm_Socket";1;"74LS374";;;
18;"SW1";"SW_PUSH_6mm";1;"RESET";;;
19;"SW2";"SW_PUSH_6mm";1;"NMI";;;
20;"IC11";"DIP-24_W7.62mm_Socket";1;"GAL22V10";;;
21;"IC2";"DIP-28_W15.24mm_Socket";1;"W27E257";;;
22;"SW5";"SW_CK_JS202011AQN_DPDT_Angled";1;"ABBA";;;
23;"C15,C12";"C_Elec_6.3x5.4";2;"100u/16v";;;
24;"J7";"PinHeader_2x04_P2.54mm_Horizontal";1;"CABLE-READY";;;
25;"D2,D3,D4";"D_SOD-123";3;"1N4148";;;
26;"J2";"PinHeader_2x17_P2.54mm_Vertical";1;"FDD_CONNECTOR";;;
27;"C16";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"33p";;;
28;"R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"270R";;;
29;"R6,R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"680R";;;
30;"R12,R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
31;"R7,R8,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"2K2";;;
32;"C13";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100p";;;
33;"C14,C1,C4,C5,C6,C7,C8,C9,C10,C11,C2,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";12;"100n";;;
34;"R1,R2,R4,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"470R";;;
